config,episode,frames,reward,avg_last5,epsilon
batch8_update10,1,764,-21.0,-21.0,0.04975
batch8_update10,2,1528,-21.0,-21.0,0.04975
batch8_update10,3,2320,-21.0,-21.0,0.04975
batch8_update10,4,3112,-21.0,-21.0,0.04975
batch8_update10,5,3876,-21.0,-21.0,0.04975
batch8_update10,6,4640,-21.0,-21.0,0.04975
batch8_update10,7,5466,-21.0,-21.0,0.04975
batch8_update10,8,6230,-21.0,-21.0,0.04975
batch8_update10,9,7012,-21.0,-21.0,0.04975
batch8_update10,10,7836,-21.0,-21.0,0.04975
batch8_update10,11,8600,-21.0,-21.0,0.04975
batch8_update10,12,9364,-21.0,-21.0,0.04975
batch8_update10,13,10204,-21.0,-21.0,0.04975
batch8_update10,14,11030,-21.0,-21.0,0.04975
batch8_update10,15,11794,-21.0,-21.0,0.04975
batch8_update10,16,12558,-21.0,-21.0,0.04975
batch8_update10,17,13322,-21.0,-21.0,0.04975
batch8_update10,18,14086,-21.0,-21.0,0.04975
batch8_update10,19,14850,-21.0,-21.0,0.04975
batch8_update10,20,15614,-21.0,-21.0,0.04975
batch8_update10,21,16378,-21.0,-21.0,0.04975
batch8_update10,22,17142,-21.0,-21.0,0.04975
batch8_update10,23,17968,-21.0,-21.0,0.04975
batch8_update10,24,18732,-21.0,-21.0,0.04975
batch8_update10,25,19618,-21.0,-21.0,0.04975
